Id;From;To
113424;05.11.2018 08:00:00;05.11.2018 09:00:00
113508;01.11.2018 18:00:00;01.11.2018 19:00:00
113446;11.11.2018 14:30:00;11.11.2018 15:30:00
113413;22.11.2018 17:30:00;22.11.2018 18:00:00
113533;27.11.2018 16:30:00;27.11.2018 17:30:00
113407;11.11.2018 09:30:00;11.11.2018 12:00:00
113522;10.11.2018 16:30:00;10.11.2018 18:30:00
113455;18.11.2018 18:30:00;18.11.2018 20:00:00
113443;09.11.2018 10:00:00;09.11.2018 12:00:00
113474;03.11.2018 13:00:00;03.11.2018 14:30:00
113414;26.11.2018 11:00:00;26.11.2018 13:00:00
113542;01.11.2018 15:00:00;01.11.2018 17:30:00
113530;27.11.2018 10:30:00;27.11.2018 12:00:00
113433;23.11.2018 09:30:00;23.11.2018 10:00:00
113526;07.11.2018 09:00:00;07.11.2018 11:30:00
113542;02.11.2018 10:00:00;02.11.2018 10:30:00
113495;05.11.2018 08:30:00;05.11.2018 09:30:00
113475;27.11.2018 15:30:00;27.11.2018 18:00:00
113504;25.11.2018 16:30:00;25.11.2018 17:00:00
113534;24.11.2018 12:30:00;24.11.2018 14:30:00
113510;21.11.2018 16:30:00;21.11.2018 17:00:00
113524;11.11.2018 18:30:00;11.11.2018 20:00:00
113458;29.11.2018 18:00:00;29.11.2018 18:30:00
113459;14.11.2018 09:30:00;14.11.2018 12:00:00
113461;09.11.2018 14:30:00;09.11.2018 16:30:00
113491;06.11.2018 13:30:00;06.11.2018 16:00:00
113495;18.11.2018 11:00:00;18.11.2018 13:30:00
113486;15.11.2018 17:00:00;15.11.2018 18:30:00
113411;14.11.2018 14:00:00;14.11.2018 16:00:00
113499;13.11.2018 10:30:00;13.11.2018 13:00:00
113518;03.11.2018 18:30:00;03.11.2018 21:00:00
113513;09.11.2018 13:00:00;09.11.2018 14:00:00
113540;19.11.2018 08:00:00;19.11.2018 08:30:00
113432;29.11.2018 14:00:00;29.11.2018 15:00:00
113533;20.11.2018 10:30:00;20.11.2018 13:00:00
113471;24.11.2018 09:00:00;24.11.2018 09:30:00
113444;26.11.2018 08:30:00;26.11.2018 09:30:00
113416;08.11.2018 10:30:00;08.11.2018 11:00:00
113509;15.11.2018 09:30:00;15.11.2018 12:00:00
113503;07.11.2018 16:30:00;07.11.2018 18:00:00
113543;05.11.2018 15:30:00;05.11.2018 17:30:00
113436;03.11.2018 14:00:00;03.11.2018 14:30:00
113411;26.11.2018 15:00:00;26.11.2018 15:30:00
113447;03.11.2018 15:00:00;03.11.2018 16:30:00
